127.0.0.1 - - [10/Jun/2024:10:21:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8363
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/css/lobby.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:04 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:06 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:06 +0900] "GET /trip/upload/4d9a22a7-3c08-4d84-aa81-4c29dde79912 HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:06 +0900] "GET /trip/upload/e06e4eda-5204-4965-a61f-3095b1b7479c HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:06 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 53269
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:10 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:10 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:10 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27835 HTTP/1.1" 200 25697
0:0:0:0:0:0:0:1 - - [10/Jun/2024:10:21:10 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-1.jpg HTTP/1.1" 304 -
