127.0.0.1 - - [21/Jun/2024:11:12:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/board/view.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8930
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/css/lobby.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:16 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:20 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:24 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:24 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:26 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:26 +0900] "GET /trip/upload/e06e4eda-5204-4965-a61f-3095b1b7479c HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:26 +0900] "GET /trip/upload/4d9a22a7-3c08-4d84-aa81-4c29dde79912 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:12:26 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 50803
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 73689
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:19 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:20 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:23 +0900] "GET /trip/image/%EC%9D%B4%EA%B1%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:23 +0900] "GET /trip/image/spon1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:23 +0900] "GET /trip/image/spon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:23 +0900] "GET /trip/image/spon3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:23 +0900] "GET /trip/image/spon4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:31 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 50803
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:32 +0900] "GET /trip/upload/25604%EB%A6%AC%EC%95%84-2.jpg HTTP/1.1" 200 227717
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:32 +0900] "GET /trip/upload/25604%EB%A6%AC%EC%95%84-1.jpg HTTP/1.1" 200 231903
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:32 +0900] "GET /trip/upload/25604%EB%A6%AC%EC%95%84-4.jpg HTTP/1.1" 200 135271
0:0:0:0:0:0:0:1 - - [21/Jun/2024:11:13:32 +0900] "GET /trip/upload/25604%EB%A6%AC%EC%95%84-3.jpg HTTP/1.1" 200 218188
