127.0.0.1 - - [30/Apr/2024:09:04:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:11 +0900] "GET /trip/user/join.jsp HTTP/1.1" 200 15374
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:11 +0900] "GET /trip/css/lobby.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:11 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:11 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:11 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:14 +0900] "GET /trip/user/idcheck.jsp?uid=ds HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:14 +0900] "GET /trip/user/idcheck.jsp?uid=dsa HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:14 +0900] "GET /trip/user/idcheck.jsp?uid=dsa HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:15 +0900] "GET /trip/user/img.jsp HTTP/1.1" 500 3183
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:16 +0900] "GET /trip/user/idcheck.jsp?uid=ds HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:16 +0900] "GET /trip/user/idcheck.jsp?uid=d HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:17 +0900] "GET /trip/user/idcheck.jsp?uid= HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:22 +0900] "GET /trip/user/idcheck.jsp?uid=zc HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:22 +0900] "GET /trip/user/idcheck.jsp?uid=zc HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:04:23 +0900] "GET /trip/user/idcheck.jsp?uid=zc HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:17 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7819
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:21 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:22 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:25 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:25 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 43742
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:25 +0900] "GET /trip/css/index.css HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:25 +0900] "GET /trip/upload/79928a46-370d-4283-bc82-e19468205d05 HTTP/1.1" 200 211938
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:25 +0900] "GET /trip/upload/58a74883-70e9-4d79-a88b-be7d6c518fef HTTP/1.1" 200 174319
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:38 +0900] "GET /trip/board/view.jsp?type=T&keyword=&page=1&no=92 HTTP/1.1" 200 15740
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:38 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:38 +0900] "GET /trip/upload/fe06ce24-5df4-4393-b922-2601ecf81049 HTTP/1.1" 200 55614
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:43 +0900] "GET /trip/user/bookmark.jsp HTTP/1.1" 200 15331
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:43 +0900] "GET /trip/image/del.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:43 +0900] "GET /trip/css/user_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:45 +0900] "GET /trip/user/bookwrite.jsp HTTP/1.1" 200 15273
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:47 +0900] "GET /trip/user/bookreply.jsp HTTP/1.1" 200 10046
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:49 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:52 +0900] "GET /trip/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:52 +0900] "GET /trip/user/loginoutok.jsp HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:52 +0900] "GET /trip/css/loginoutok.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:53 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7819
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:56 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:56 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8693
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:05:58 +0900] "GET /trip/user/bookmark.jsp HTTP/1.1" 200 15241
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:00 +0900] "GET /trip/user/bookwrite.jsp HTTP/1.1" 200 15284
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:01 +0900] "GET /trip/user/bookreply.jsp HTTP/1.1" 200 10619
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:03 +0900] "GET /trip/master/masterGonggiwrite.jsp HTTP/1.1" 200 9602
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:03 +0900] "GET /trip/css/masterGonggiwrite.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:10 +0900] "GET /trip/master/masterMembercheck.jsp HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:10 +0900] "GET /trip/css/masterMembercheck.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:10 +0900] "POST /trip/master/masterMembercheckok.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:11 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8693
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:13 +0900] "GET /trip/image/%EC%97%AC%EB%A6%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:22 +0900] "GET /trip/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:22 +0900] "GET /trip/user/loginoutok.jsp HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:23 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7819
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:26 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:26 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:29 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 43742
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:29 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:29 +0900] "GET /trip/upload/79928a46-370d-4283-bc82-e19468205d05 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:29 +0900] "GET /trip/upload/58a74883-70e9-4d79-a88b-be7d6c518fef HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:30 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:33 +0900] "GET /trip/firstmain/chat.jsp HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:06:37 +0900] "POST /trip/firstmain/getmsg.jsp HTTP/1.1" 200 8581
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:20 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 43742
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:20 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:20 +0900] "GET /trip/upload/58a74883-70e9-4d79-a88b-be7d6c518fef HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:20 +0900] "GET /trip/upload/79928a46-370d-4283-bc82-e19468205d05 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:22 +0900] "GET /trip/board/write.jsp HTTP/1.1" 200 9459
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:22 +0900] "GET /trip/board/attach(write).jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:26 +0900] "GET /trip/board/view.jsp?type=T&keyword=&page=1&no=90 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:26 +0900] "GET /trip/board/view.jsp?type=T&keyword=&season=&local=&human=&move=&schedule=&uinout=&no=90 HTTP/1.1" 200 17191
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:26 +0900] "GET /trip/upload/a044c2fe-7b90-487f-a80e-ff02353009f9 HTTP/1.1" 200 693103
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:26 +0900] "GET /trip/upload/cf93e2b4-8767-4312-a357-dca4528bd181 HTTP/1.1" 200 304943
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:31 +0900] "GET /trip/board/view.jsp?type=T&keyword=&season=&local=&human=&move=&schedule=&uinout=&no=68 HTTP/1.1" 200 28419
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:31 +0900] "GET /trip/board/view.jsp?type=T&keyword=&page=1&no=68 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:31 +0900] "GET /trip/upload/8a9dc6cc-1cc8-4bfa-ba4d-14fa7b04d17a HTTP/1.1" 200 434829
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:31 +0900] "GET /trip/upload/87145c39-5f79-4f40-838a-0a2083e919eb HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:33 +0900] "GET /trip/board/modify.jsp?type=T&pageno=1&no=68&keyword=&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 27119
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:08:33 +0900] "GET /trip/board/attach.jsp?no=68 HTTP/1.1" 200 734
