127.0.0.1 - - [29/Apr/2024:08:59:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8364
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/css/lobby.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:21 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7819
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:27 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:27 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:28 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8681
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:29 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8681
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:34 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 44597
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:34 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:43 +0900] "GET /trip/board/view.jsp?type=T&keyword=&season=&local=&human=&move=&schedule=&uinout=&no=63 HTTP/1.1" 200 25005
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:43 +0900] "GET /trip/board/view.jsp?type=T&keyword=&page=1&no=63 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:43 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:59:43 +0900] "GET /trip/upload/7278bd6e-9f01-4855-9723-2456a1b14f09 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:01:49 +0900] "GET /trip/board/write.jsp HTTP/1.1" 200 9409
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:01:49 +0900] "GET /trip/board/attach(write).jsp HTTP/1.1" 200 213
