127.0.0.1 - - [14/Jun/2024:09:03:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/board/view.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8388
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/css/lobby.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 200 279816
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 200 62354
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 200 108907
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 200 57498
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 200 135736
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:50 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:50 +0900] "GET /trip/upload/e06e4eda-5204-4965-a61f-3095b1b7479c HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:50 +0900] "GET /trip/upload/4d9a22a7-3c08-4d84-aa81-4c29dde79912 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 49841
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 35190
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:51 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:52 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:03:52 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/upload/26838%EC%86%90%EC%98%A4%EA%B3%B5-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/upload/26838%EC%86%90%EC%98%A4%EA%B3%B5-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/upload/26838%EC%86%90%EC%98%A4%EA%B3%B5-0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/upload/26838%EC%86%90%EC%98%A4%EA%B3%B5-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/upload/26838%EC%86%90%EC%98%A4%EA%B3%B5-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27600 HTTP/1.1" 200 45831
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/board/loadReply_list.jsp?no=27600 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:01 +0900] "GET /trip/board/loadreco_table.jsp?no=27600 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:15 +0900] "GET /trip/image/%EC%9D%B4%EA%B1%B4.png HTTP/1.1" 200 120201
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:15 +0900] "GET /trip/image/spon4.png HTTP/1.1" 200 11310
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:15 +0900] "GET /trip/image/spon2.png HTTP/1.1" 200 11970
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:15 +0900] "GET /trip/image/spon1.png HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:04:15 +0900] "GET /trip/image/spon3.png HTTP/1.1" 200 11661
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:01 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:05 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:05 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8717
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:07 +0900] "GET /trip/master/masterGonggiwrite.jsp HTTP/1.1" 200 10292
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:07 +0900] "GET /trip/css/masterGonggiwrite.css HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:09 +0900] "GET /trip/master/masterADindex.jsp HTTP/1.1" 200 43682
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:20 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [14/Jun/2024:09:05:26 +0900] "GET /trip/master/masterADindex.jsp?category=&subclass=&search_type=product_name&detail_vip=Y&sort_type=by_category&keyword=%EB%82%98%EC%9D%B4%ED%82%A4 HTTP/1.1" 200 20450
