127.0.0.1 - - [05/Jun/2024:09:59:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:20 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8363
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:20 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:23 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:29 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:30 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:32 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 53189
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:32 +0900] "GET /trip/upload/02a2549c-c83f-47da-b900-ce5e20c770f1 HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:32 +0900] "GET /trip/upload/8125bcb8-eaf4-4f0c-b1f3-4f79a046405a HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/upload/27082%EC%B4%88%EB%8F%99%EC%9D%B4-0.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27846 HTTP/1.1" 500 27624
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/upload/27082%EC%B4%88%EB%8F%99%EC%9D%B4-2.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/upload/27082%EC%B4%88%EB%8F%99%EC%9D%B4-3.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/upload/27082%EC%B4%88%EB%8F%99%EC%9D%B4-1.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/upload/27082%EC%B4%88%EB%8F%99%EC%9D%B4-4.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:35 +0900] "GET /trip/image/%EB%B0%80%ED%8F%90%EC%9A%A9%EA%B8%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:42 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27835 HTTP/1.1" 500 19700
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:42 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:42 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:42 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:42 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:59:42 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:01:32 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27835 HTTP/1.1" 200 20858
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:01:42 +0900] "POST /trip/board/reco_upok.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:01:43 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27835 HTTP/1.1" 200 20887
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:02:05 +0900] "POST /trip/board/reco_downok.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:02:06 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27835 HTTP/1.1" 200 20895
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-0.jpg HTTP/1.1" 200 156134
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27835 HTTP/1.1" 200 20895
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 200 285314
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/css/lobby.css HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-1.jpg HTTP/1.1" 200 144157
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/css/trip.css HTTP/1.1" 200 9311
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/css/view.css HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-2.jpg HTTP/1.1" 200 168142
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-3.jpg HTTP/1.1" 200 194784
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/upload/27073%EC%84%9C%EC%9A%B0-4.jpg HTTP/1.1" 200 181363
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /trip/image/%EB%B0%80%ED%8F%90%EC%9A%A9%EA%B8%B0.jpg HTTP/1.1" 200 13977
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:25 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:26 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:27 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 53189
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:27 +0900] "GET /trip/upload/02a2549c-c83f-47da-b900-ce5e20c770f1 HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:27 +0900] "GET /trip/upload/8125bcb8-eaf4-4f0c-b1f3-4f79a046405a HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-0.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27845 HTTP/1.1" 200 24582
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-2.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-4.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-3.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-1.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:28 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-0.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/css/lobby.css HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/css/view.css HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-0.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 200 285314
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/css/trip.css HTTP/1.1" 200 9311
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27845 HTTP/1.1" 200 24582
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-2.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-1.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-3.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-4.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/image/%EB%B0%80%ED%8F%90%EC%9A%A9%EA%B8%B0.jpg HTTP/1.1" 200 13977
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /trip/upload/27081%ED%95%91%ED%94%8C%ED%94%BC-0.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:54 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27845&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 53189
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:54 +0900] "GET /trip/upload/02a2549c-c83f-47da-b900-ce5e20c770f1 HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:54 +0900] "GET /trip/upload/8125bcb8-eaf4-4f0c-b1f3-4f79a046405a HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:55 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-0.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:55 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27842 HTTP/1.1" 200 26088
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:55 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-2.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:55 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-4.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:55 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-1.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:03:55 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-3.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/css/lobby.css HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/css/trip.css HTTP/1.1" 200 9311
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/css/view.css HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-0.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 200 285314
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27842 HTTP/1.1" 200 26056
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-2.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-1.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-4.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-3.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/image/%EB%B0%80%ED%8F%90%EC%9A%A9%EA%B8%B0.jpg HTTP/1.1" 200 13977
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:04:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:00 +0900] "POST /trip/board/reco_upok.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:01 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-0.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:02 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27842 HTTP/1.1" 200 26092
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:02 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-2.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:02 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-3.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:02 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-1.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:02 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-4.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:05 +0900] "POST /trip/board/reco_downok.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:06 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-0.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:06 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27842 HTTP/1.1" 200 26100
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:06 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-1.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:06 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-2.jpg HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Jun/2024:10:05:06 +0900] "GET /trip/upload/27078%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94%20%EB%82%98%EC%BF%B5D-3.jpg HTTP/1.1" 404 896
