127.0.0.1 - - [23/May/2024:14:11:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8363
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 200 285314
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/css/lobby.css HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/css/trip.css HTTP/1.1" 200 9118
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 200 279816
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 200 57498
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 200 62354
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 200 108907
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 200 135736
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:26 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2024:14:11:27 +0900] "GET /trip/image/%EC%97%AC%EB%A6%841.jpg HTTP/1.1" 304 -
