127.0.0.1 - - [18/Jun/2024:08:52:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/board/view.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8388
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/css/lobby.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:20 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:26 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:27 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:27 +0900] "GET /trip/upload/e06e4eda-5204-4965-a61f-3095b1b7479c HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:27 +0900] "GET /trip/upload/4d9a22a7-3c08-4d84-aa81-4c29dde79912 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:27 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 49958
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 47372
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:28 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:31 +0900] "GET /trip/image/spon1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:31 +0900] "GET /trip/image/spon4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:31 +0900] "GET /trip/image/spon3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:31 +0900] "GET /trip/image/%EC%9D%B4%EA%B1%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:31 +0900] "GET /trip/image/spon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:08:52:33 +0900] "GET /trip/image/inmodal3.png HTTP/1.1" 200 49336
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 47372
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:09:39 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 47372
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:54 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:58 +0900] "GET /trip/image/inmodal3.png HTTP/1.1" 200 49336
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:02 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49958
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:04 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:04 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:04 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:04 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 47372
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:04 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:04 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:28:44 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:28:47 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:28:47 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8717
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:28:50 +0900] "GET /trip/master/user_info.jsp HTTP/1.1" 200 14535
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:28:50 +0900] "GET /trip/css/user_info.css HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:23 +0900] "GET /trip/user/bookmark.jsp HTTP/1.1" 200 15702
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:23 +0900] "GET /trip/image/del.jpg HTTP/1.1" 200 48998
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:24 +0900] "GET /trip/user/bookwrite.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:28 +0900] "GET /trip/user/bookreply.jsp HTTP/1.1" 200 10974
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:31 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8717
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:33 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 50243
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 48256
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:42:35 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [18/Jun/2024:11:37:43 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8388
0:0:0:0:0:0:0:1 - - [18/Jun/2024:11:37:45 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 49958
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 47372
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [18/Jun/2024:12:27:24 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:07 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49959
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:12 +0900] "GET /trip/board/index.jsp?season=&local=&human=&move=&schedule=&uinout=&type=T&keyword=%ED%9D%91%EB%8F%BC%EC%A7%80 HTTP/1.1" 200 16260
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/board/view.jsp?type=T&keyword=%ED%9D%91%EB%8F%BC%EC%A7%80&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27834 HTTP/1.1" 200 39410
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/upload/27072ynndx-2.jpg HTTP/1.1" 200 174688
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/upload/27072ynndx-3.jpg HTTP/1.1" 200 188003
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/upload/27072ynndx-1.jpg HTTP/1.1" 200 157190
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/upload/27072ynndx-0.jpg HTTP/1.1" 200 162742
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/upload/27072ynndx-4.jpg HTTP/1.1" 200 185378
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/board/loadReply_list.jsp?no=27834 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:13 +0900] "GET /trip/board/loadreco_table.jsp?no=27834 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:21 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27834&keyword=%ED%9D%91%EB%8F%BC%EC%A7%80&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 16260
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/board/view.jsp?type=T&keyword=%ED%9D%91%EB%8F%BC%EC%A7%80&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27830 HTTP/1.1" 200 39767
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/upload/27068%EB%B0%8D%EB%B0%8D-2.jpg HTTP/1.1" 200 190843
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/upload/27068%EB%B0%8D%EB%B0%8D-4.jpg HTTP/1.1" 200 181958
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/upload/27068%EB%B0%8D%EB%B0%8D-3.jpg HTTP/1.1" 200 177087
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/upload/27068%EB%B0%8D%EB%B0%8D-0.jpg HTTP/1.1" 200 140684
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/upload/27068%EB%B0%8D%EB%B0%8D-1.jpg HTTP/1.1" 200 180253
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/board/loadReply_list.jsp?no=27830 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:22 +0900] "GET /trip/board/loadreco_table.jsp?no=27830 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:33 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27830&keyword=%ED%9D%91%EB%8F%BC%EC%A7%80&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 16260
