127.0.0.1 - - [17/Jun/2024:12:18:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/board/view.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8388
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 200 285314
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/css/trip.css HTTP/1.1" 200 9311
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/css/lobby.css HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:55 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:55 +0900] "GET /trip/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:56 +0900] "GET /trip/upload/4d9a22a7-3c08-4d84-aa81-4c29dde79912 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:56 +0900] "GET /trip/upload/e06e4eda-5204-4965-a61f-3095b1b7479c HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:56 +0900] "GET /trip/board/index.jsp HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/css/view.css HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-0.jpg HTTP/1.1" 200 218993
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-1.jpg HTTP/1.1" 200 115226
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 43426
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-2.jpg HTTP/1.1" 200 247886
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-3.jpg HTTP/1.1" 200 204873
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/upload/26602%ED%9D%AC%EC%A0%9C%EC%9D%B4-4.jpg HTTP/1.1" 200 209594
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:57 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:58 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:18:58 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:19:01 +0900] "GET /trip/image/%EC%9D%B4%EA%B1%B4.png HTTP/1.1" 200 120201
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:19:01 +0900] "GET /trip/image/spon4.png HTTP/1.1" 200 11310
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:19:01 +0900] "GET /trip/image/spon1.png HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:19:01 +0900] "GET /trip/image/spon2.png HTTP/1.1" 200 11970
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:19:01 +0900] "GET /trip/image/spon3.png HTTP/1.1" 200 11661
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:19:02 +0900] "GET /trip/image/inmodal1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:04 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/upload/25755%EC%9C%B5%EB%94%94-0.jpg HTTP/1.1" 200 54150
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/upload/25755%EC%9C%B5%EB%94%94-1.jpg HTTP/1.1" 200 173467
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/upload/25755%EC%9C%B5%EB%94%94-4.jpg HTTP/1.1" 200 195803
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/upload/25755%EC%9C%B5%EB%94%94-3.jpg HTTP/1.1" 200 153557
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/upload/25755%EC%9C%B5%EB%94%94-2.jpg HTTP/1.1" 200 93763
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=26517 HTTP/1.1" 200 49033
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/image/.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/board/loadReply_list.jsp?no=26517 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:05 +0900] "GET /trip/board/loadreco_table.jsp?no=26517 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:34 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=26517&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:35 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 43426
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:35 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:35 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:35 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:35 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:41 +0900] "GET /trip/image/inmodal4.png HTTP/1.1" 200 48621
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:50 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/upload/24935%EB%B4%84%EC%9D%B4%EB%A7%98-0.jpg HTTP/1.1" 200 1522224
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=25697 HTTP/1.1" 200 49536
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/upload/24935%EB%B4%84%EC%9D%B4%EB%A7%98-1.jpg HTTP/1.1" 200 1371159
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/upload/24935%EB%B4%84%EC%9D%B4%EB%A7%98-2.jpg HTTP/1.1" 200 1090923
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/upload/24935%EB%B4%84%EC%9D%B4%EB%A7%98-3.jpg HTTP/1.1" 200 830548
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/upload/24935%EB%B4%84%EC%9D%B4%EB%A7%98-4.jpg HTTP/1.1" 200 1008259
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/board/loadvip_item.jsp?Pri=3 HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/board/loadReply_list.jsp?no=25697 HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:55 +0900] "GET /trip/board/loadreco_table.jsp?no=25697 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:41:59 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=25697&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:01 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=26517 HTTP/1.1" 200 49033
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:01 +0900] "GET /trip/board/loadReply_list.jsp?no=26517 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:01 +0900] "GET /trip/board/loadreco_table.jsp?no=26517 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:03 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=26517&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/upload/24938%EC%9D%80%EB%8C%95%EA%B5%AC-1.jpg HTTP/1.1" 200 315225
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/upload/24938%EC%9D%80%EB%8C%95%EA%B5%AC-3.jpg HTTP/1.1" 200 134091
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/upload/24938%EC%9D%80%EB%8C%95%EA%B5%AC-4.jpg HTTP/1.1" 200 140925
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/upload/24938%EC%9D%80%EB%8C%95%EA%B5%AC-0.jpg HTTP/1.1" 200 240633
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/upload/24938%EC%9D%80%EB%8C%95%EA%B5%AC-2.jpg HTTP/1.1" 200 119681
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=25700 HTTP/1.1" 200 61127
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/board/loadReply_list.jsp?no=25700 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:04 +0900] "GET /trip/board/loadreco_table.jsp?no=25700 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:35 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=25700&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:39 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:39 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:39 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:39 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:39 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:42:51 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:48:20 +0900] "GET /trip/board/view.jsp?type=T&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout=&page=1&no=27364 HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:48:20 +0900] "GET /trip/board/loadReply_list.jsp?no=27364 HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:48:20 +0900] "GET /trip/board/loadvip_item.jsp?Pri=2 HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:48:20 +0900] "GET /trip/board/loadvip_item.jsp?Pri=1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:48:20 +0900] "GET /trip/board/loadreco_table.jsp?no=27364 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:50:06 +0900] "GET /trip/board/index.jsp?type=T&page=1&no=27364&keyword=&kind=I&season=&local=&human=&move=&schedule=&uinout= HTTP/1.1" 200 49955
0:0:0:0:0:0:0:1 - - [17/Jun/2024:12:50:09 +0900] "GET /trip/upload/24891%EC%99%95%EB%BB%94%EC%9D%B4-2.jpg HTTP/1.1" 200 151756
